circadian_drk8_cycling_3240min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk7_cycling_0000min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_0180min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_0360min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_0540min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_0720min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_0900min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_1080min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_1260min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_1440min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_1620min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_1800min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_1980min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_2160min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_2340min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_2520min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_2700min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_2880min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_3060min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk7_cycling_3240min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk6_cycling_0000min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk6_cycling_0180min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk6_cycling_0360min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk6_cycling_0540min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk6_cycling_0720min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk6_cycling_0912min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk6_cycling_1080min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk6_cycling_1260min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk6_cycling_1440min_vs_NRC-1e.sig	Whitehead, 2009
circadian__dark5_cycling_30C_1440min_vs_NRC-1d.sig	Whitehead, 2009
circadian__dark5_cycling_30C_1630min_vs_NRC-1d.sig	Whitehead, 2009
circadian__dark5_cycling_30C_1815min_vs_NRC-1d.sig	Whitehead, 2009
circadian__dark5_cycling_30C_1980min_vs_NRC-1d.sig	Whitehead, 2009
circadian__dark5_cycling_30C_2160min_vs_NRC-1d.sig	Whitehead, 2009
circadian__dark5_cycling_30C_2355min_vs_NRC-1d.sig	Whitehead, 2009
circadian__dark5_cycling_30C_2590min_vs_NRC-1d.sig	Whitehead, 2009
circadian__dark5_cycling_30C_2700min_vs_NRC-1d.sig	Whitehead, 2009
circadian__dark5_cycling_30C_2880min_vs_NRC-1d.sig	Whitehead, 2009
circadian_20051021_cycling_dark_42oC_1440min_vs_NRC-1d.sig	Whitehead, 2009
circadian_20051021_cycling_dark_42oC_1615min_vs_NRC-1d.sig	Whitehead, 2009
circadian_20051021_cycling_dark_42oC_1800min_vs_NRC-1d.sig	Whitehead, 2009
circadian_20051021_cycling_dark_42oC_1985min_vs_NRC-1d.sig	Whitehead, 2009
circadian_20051021_cycling_dark_42oC_2160min_vs_NRC-1d.sig	Whitehead, 2009
circadian_20051021_cycling_dark_42oC_2340min_vs_NRC-1d.sig	Whitehead, 2009
circadian_20051021_cycling_dark_42oC_2515min_vs_NRC-1d.sig	Whitehead, 2009
