	agitation rate	Biotin	CoSO4.7H2O	CuSO4.5H2O	DIP	EMS	FeSO4.7H2O	Folic Acid	gamma	H2O2	illumination	KCl	knockout	L-alanine	L-arg-HCl	L-asn	L-asp	L-gln	L-glu	L-gly	L-his-HCl	L-ile	L-leu	L-lys-HCl	L-met	L-phe	L-pro	L-ser	L-thre	L-trp	L-tyr	L-val	media-to-flask-volume-ratio	MgSO4.7H2O	MnSO4.H2O	MOPS buffer	Na3C6H5O7	NaCl	NaH2PO4	NiSO4.H2O	Optical density (600nm)	Oxoid peptone	oxygen	pH	shaking	temperature	Thiamine HCl	time	Time after add CoSO4	Time after add Dip	Uracil	uv	ZnSO4.7H2O	GWAP Import Date	SBEAMS Processing Date	Title Date
part of recipe		y	y	y			y	y						y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y																	y	y	y					
Co_0.0_vs_NRC-1d.sig	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0.08	0	0	0.01	4.28	0	0	0.85	1	0	0	220	37	0	0	300	0	0	0	0	20050526		
Co_0.2_vs_NRC-1d.sig	0	0	200	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0.08	0	0	0.01	4.28	0	0	0.868	1	0	0	220	37	0	0	300	0	0	0	0	20050526		
Co_0.3_vs_NRC-1d.sig	0	0	300	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0.08	0	0	0.01	4.28	0	0	0.856	1	0	0	220	37	0	0	300	0	0	0	0	20050526		
Co_0.5_vs_NRC-1d.sig	0	0	500	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0.08	0	0	0.01	4.28	0	0	0.803	1	0	0	220	37	0	0	300	0	0	0	0	20050526		
co__0000um_vs_NRC-1c	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20040801		
co__0200um_vs_NRC-1c	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20040801		
co__0300um_vs_NRC-1c	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20040801		
co__0500um_vs_NRC-1c	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20040801		
Cu_-1_vs_NRC-1e.sig	300	0	0	0	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.586	1	38.6	7.09	0	37	0	-1	0	0	0	0		20061023	20061020	20061017
Cu_-5_vs_NRC-1.sig	300	0	0	0	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.586	1	38.6	7.09	0	37	0	-5	0	0	0	0	0	20061108		200611
Cu_000_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.563	1	39	7	0	37	0	0	0	0	0	0	0	20061108		200611
Cu_000_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.563	1	39	7	0	37	0	0	0	0	0	0	0	20061023	20061020	20061017
Cu_005_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.576	1	40	6.94	0	37	0	5	0	0	0	0	0	20061108		200611
Cu_005_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.576	1	40	6.94	0	37	0	5	0	0	0	0	0	20061023	20061020	20061017
Cu_010_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.57	1	40.8	6.94	0	37	0	10	0	0	0	0	0	20061108		200611
Cu_010_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.57	1	40.8	6.94	0	37	0	10	0	0	0	0	0	20061023	20061020	20061017
Cu_020_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.561	1	41.6	6.95	0	37	0	20	0	0	0	0	0	20061108		200611
Cu_020_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.561	1	41.6	6.95	0	37	0	20	0	0	0	0	0	20061023	20061020	20061017
Cu_040_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.608	1	41.8	6.96	0	37	0	40	0	0	0	0	0	20061108		200611
Cu_040_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.608	1	41.8	6.96	0	37	0	40	0	0	0	0	0	20061023	20061020	20061017
Cu_080_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.646	1	42	6.97	0	37	0	80	0	0	0	0	0	20061108		200611
Cu_080_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.646	1	42	6.97	0	37	0	80	0	0	0	0	0	20061023	20061020	20061017
Cu_160_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.545	1	43.6	6.95	0	37	0	160	0	0	0	0	0	20061108		200611
Cu_160_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.545	1	43.6	6.95	0	37	0	160	0	0	0	0	0	20061023	20061020	20061017
Cu_320_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.61	1	43.8	6.94	0	37	0	320	0	0	0	0	0	20061023	20061020	20061017
Dip_0.000_vs_NRC-1d.sig	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0.08	0	0	0.01	4.28	0	0	0.801	1	0	0	220	37	0	0	0	300	0	0	0	20050526		
Dip_0.025_vs_NRC-1d.sig	0	0	0	0	25	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0.08	0	0	0.01	4.28	0	0	0.84	1	0	0	220	37	0	0	0	300	0	0	0	20050526		
Dip_0.100_vs_NRC-1d.sig	0	0	0	0	100	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0.08	0	0	0.01	4.28	0	0	0.805	1	0	0	220	37	0	0	0	300	0	0	0	20050526		
Dip_0.250_vs_NRC-1d.sig	0	0	0	0	250	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0.08	0	0	0.01	4.28	0	0	0.757	1	0	0	220	37	0	0	0	300	0	0	0	20050526		
feso4__-0001m_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	-1	0	0	0	0	0	20070701		
feso4__0000m_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20070701
feso4__0005m_vs_NRC-1b	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	5	0	0	0	0	0	20070701
feso4__0010m_vs_NRC-1b	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	10	0	0	0	0	0	20070701
feso4__0015m_vs_NRC-1b	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	15	0	0	0	0	0	20070701
feso4__0020m_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	20	0	0	0	0	0	20070701
feso4__0025m_vs_NRC-1b	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	25	0	0	0	0	0	20070701
feso4__0040m_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	40	0	0	0	0	0	20070701
feso4__0080m_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	80	0	0	0	0	0	20070701
feso4__0160m_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	160	0	0	0	0	0	20070701
feso4__0320m_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	320	0	0	0	0	0	20070701
fe__2000um_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20040301
fe__4000um_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20040301
fe__6000um_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20040301
fe__7000um_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20040301
idr1_40min_+Fe_vs_NRC1-h1.sig	0	0.5	0	0.01	0	0	10	5	0	0	0	1	idr1	509	400	127	250	730	1565	150	50	440	800	200	90	50	46	305	500	20	112	250	0	20	10	8.37	0	4.28	0.02	0	0.557	0	0	6.8	0	37	5	40	0	0	50	0	0.01	20090119
idr1_40min_-Fe_vs_NRC1-h1.sig	0	0.5	0	0.01	0	0	0	5	0	0	0	1	idr1	509	400	127	250	730	1565	150	50	440	800	200	90	50	46	305	500	20	112	250	0	20	10	8.37	0	4.28	0.02	0	0.557	0	0	6.8	0	37	5	40	0	0	50	0	0.01	20090119
idr1_60min_+Fe_vs_NRC1-h1.sig	0	0.5	0	0.01	0	0	10	5	0	0	0	1	idr1	509	400	127	250	730	1565	150	50	440	800	200	90	50	46	305	500	20	112	250	0	20	10	8.37	0	4.28	0.02	0	0.789	0	0	6.8	0	37	5	60	0	0	50	0	0.01	20090119
idr1_60_min_-Fe_vs_NRC1-h1.sig	0	0.5	0	0.01	0	0	0	5	0	0	0	1	idr1	509	400	127	250	730	1565	150	50	440	800	200	90	50	46	305	500	20	112	250	0	20	10	8.37	0	4.28	0.02	0	0.789	0	0	6.8	0	37	5	60	0	0	50	0	0.01	20090119
idr2_0min_vs_NRC1-h1.sig	0	0.5	0	0.01	0	0	0	5	0	0	0	1	idr2	509	400	127	250	730	1565	150	50	440	800	200	90	50	46	305	500	20	112	250	0	20	10	8.37	0	4.28	0.02	0	0.31	0	0	6.8	0	37	5	0	0	0	50	0	0.01	20090119
idr2_20min_+Fe_vs_NRC1-h1.sig	0	0.5	0	0.01	0	0	10	5	0	0	0	1	idr2	509	400	127	250	730	1565	150	50	440	800	200	90	50	46	305	500	20	112	250	0	20	10	8.37	0	4.28	0.02	0	0.317	0	0	6.8	0	37	5	20	0	0	50	0	0.01	20090119
idr2_20min_-Fe_vs_NRC1-h1.sig	0	0.5	0	0.01	0	0	0	5	0	0	0	1	idr2	509	400	127	250	730	1565	150	50	440	800	200	90	50	46	305	500	20	112	250	0	20	10	8.37	0	4.28	0.02	0	0.31	0	0	6.8	0	37	5	20	0	0	50	0	0.01	20090119
idr2_40min_+Fe_vs_NRC1-h1.sig	0	0.5	0	0.01	0	0	10	5	0	0	0	1	idr2	509	400	127	250	730	1565	150	50	440	800	200	90	50	46	305	500	20	112	250	0	20	10	8.37	0	4.28	0.02	0	0.317	0	0	6.8	0	37	5	40	0	0	50	0	0.01	20090119
idr2_40min_-Fe_vs_NRC1-h1.sig	0	0.5	0	0.01	0	0	0	5	0	0	0	1	idr2	509	400	127	250	730	1565	150	50	440	800	200	90	50	46	305	500	20	112	250	0	20	10	8.37	0	4.28	0.02	0	0.31	0	0	6.8	0	37	5	40	0	0	50	0	0.01	20090119
idr2_60min_+Fe_vs_NRC1-h1.sig	0	0.5	0	0.01	0	0	10	5	0	0	0	1	idr2	509	400	127	250	730	1565	150	50	440	800	200	90	50	46	305	500	20	112	250	0	20	10	8.37	0	4.28	0.02	0	0.317	0	0	6.8	0	37	5	60	0	0	50	0	0.01	20090119
idr2_60min_-Fe_vs_NRC1-h1.sig	0	0.5	0	0.01	0	0	10	5	0	0	0	1	idr2	509	400	127	250	730	1565	150	50	440	800	200	90	50	46	305	500	20	112	250	0	20	10	8.37	0	4.28	0.02	0	0.31	0	0	6.8	0	37	5	60	0	0	50	0	0.01	20090119
mn__0800um_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20040301
mn__1000um_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20040301
mn__1500um_vs_NRC-1	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20040301
Ni_0.0_vs_NRC-1d.sig	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20050526
Ni_0.5_vs_NRC-1d.sig	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20050526
Ni_0.75_vs_NRC-1d.sig	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20050526
Ni_1.5_vs_NRC-1d.sig	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20050526
ni__0000um_vs_NRC-1c	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20040801
ni__0500um_vs_NRC-1c	0	0	0	0	0	0	0	0	0	0	Light	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	4.28	0	0	0.7	1	50	0	0	37	0	0	0	0	0	0	0	20040801
